날짜,지역,상품,담당자,수량,단가,매출
2025-01-02,서울,노트북,김철수,3,1500000,4500000
2025-01-03,부산,모니터,이영희,5,300000,1500000
2025-01-04,대구,키보드,박민수,20,50000,1000000
2025-01-05,광주,마우스,최지은,30,30000,900000
2025-01-06,서울,노트북,김철수,2,1500000,3000000
2025-01-07,부산,모니터,이영희,4,300000,1200000
2025-01-08,대전,프린터,김민지,3,400000,1200000
2025-01-09,인천,태블릿,박민수,6,700000,4200000
2025-01-10,서울,마우스,최지은,40,30000,1200000
2025-01-11,광주,노트북,김철수,1,1500000,1500000
2025-01-12,부산,키보드,이영희,15,50000,750000
2025-01-13,대구,프린터,김민지,2,400000,800000
2025-01-14,서울,태블릿,박민수,5,700000,3500000
2025-01-15,인천,모니터,최지은,7,300000,2100000
2025-01-16,광주,마우스,김철수,25,30000,750000
2025-01-17,서울,노트북,이영희,2,1500000,3000000
2025-01-18,부산,프린터,박민수,1,400000,400000
2025-01-19,대전,키보드,김민지,18,50000,900000
2025-01-20,서울,태블릿,최지은,4,700000,2800000
2025-01-21,광주,모니터,김철수,6,300000,1800000
2025-01-22,인천,노트북,이영희,3,1500000,4500000
2025-01-23,대구,마우스,박민수,28,30000,840000
2025-01-24,서울,프린터,김민지,2,400000,800000
2025-01-25,부산,태블릿,최지은,3,700000,2100000
2025-01-26,광주,키보드,김철수,12,50000,600000
2025-01-27,서울,모니터,이영희,8,300000,2400000
2025-01-28,대전,노트북,박민수,2,1500000,3000000
2025-01-29,인천,마우스,김민지,35,30000,1050000
2025-01-30,서울,프린터,최지은,4,400000,1600000
2025-01-31,부산,노트북,김철수,1,1500000,1500000
